name,start frame,stop frame,fps
n2_1.hdf5,1780,2035,31.8
n2_2.hdf5,1800,1880,25.6
n2_4.hdf5,16890,17244,25.97
n2_5.hdf5,16286,16704,26.1
n2_6.hdf5,1649,1855,25.77
n2_7.hdf5,3200,3360,20
n2_8.hdf5,3600,3840,30
n2_9.hdf5,17150,17300,20
n2_10.hdf5,7440,7680,30
