name,start frame,stop frame,fps
gpa15_1.hdf5,3744,4784,26
gpa15_2.hdf5,2467.2,3495.2,25.7
gpa15_3.hdf5,1411.2,2419.2,25.2
gpa15_4.hdf5,2270.4,3302.4,25.8
gpa15_5.hdf5,4160,5616,26
gpa15_6.hdf5,5030.4,5868.8,26.2
gpa15_7.hdf5,1843.2,2867.2,25.6
gpa15_8.hdf5,831.04,1662.08,25.97
gpa15_9.hdf5,6398.4,7224,25.8
gpa15_10.hdf5,1036,2486.4,25.9
