name,start frame,stop frame,fps
egl10_1.hdf5,0,3600,30
egl10_2.hdf5,12720,14160,30
egl10_3.hdf5,10890.08,12392.16,23.47
egl10_4.hdf5,9683.52,10417.12,18.34
egl10_5.hdf5,5581.44,7441.92,25.84
egl10_6.hdf5,415.52,3324.16,25.97
egl10_7.hdf5,24240,25440,30
egl10_8.hdf5,15840,18720,30
egl10_9.hdf5,21600,22560,30
egl10_10.hdf5,2160,4080,30
