name,start frame,stop frame,fps
mod5_1.hdf5,16873.92,18123.84,26.04
mod5_2.hdf5,3710.88,5154,25.77
mod5_3.hdf5,1439.2,2467.2,25.7
mod5_4.hdf5,10302,11312,25.25
mod5_5.hdf5,2486.4,3315.2,25.9
mod5_6.hdf5,204.56,1431.92,25.57
mod5_7.hdf5,6373.6,6990.4,25.7
