name,start frame,stop frame,fps
n2_1.hdf5,750,1526,31.8
n2_2.hdf5,1400,1700,25.6
n2_3.hdf5,0,700,31.7
n2_4.hdf5,14600,15100,25.97
n2_5.hdf5,15800,16077,26.1
n2_6.hdf5,618,1443,25.77
n2_7.hdf5,4160,4350,20
n2_8.hdf5,600,780,30
n2_9.hdf5,2450,2800,20
n2_10.hdf5,1300,2400,30
